[2025-05-11 13:13:28] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:28] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:13:32] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:32] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:13:35] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:35] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:36:44] INFO: Method=GET, IP=127.0.0.1:57200, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=433.501µs, Message=Fetched completed tasks
[2025-05-11 13:38:30] ERROR: Method=GET, IP=127.0.0.1:42712, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=404, ResponseTime=483.1µs, Error=Data task ongoing tidak ditemukan
[2025-05-11 13:38:30] INFO: Method=GET, IP=127.0.0.1:42724, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=410.9µs, Message=Fetched completed tasks
[2025-05-11 13:39:33] ERROR: Method=GET, IP=127.0.0.1:40616, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=404, ResponseTime=546.9µs, Error=Data task ongoing tidak ditemukan
[2025-05-11 13:39:33] INFO: Method=GET, IP=127.0.0.1:40618, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=789.5µs, Message=Fetched completed tasks
[2025-05-11 13:39:36] INFO: Method=DELETE, IP=127.0.0.1:40634, User-Agent=GuzzleHttp/7, Endpoint=/tasks, Status=204, ResponseTime=0s, Message=Berhasil menghapus task ID: 11
[2025-05-11 13:39:36] INFO: Method=DELETE, IP=127.0.0.1:40634, User-Agent=GuzzleHttp/7, Endpoint=/tasks, Status=200, ResponseTime=6.558299ms, Message=Task deleted successfully
[2025-05-11 13:39:36] ERROR: Method=GET, IP=127.0.0.1:40646, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=404, ResponseTime=285.5µs, Error=Data task ongoing tidak ditemukan
[2025-05-11 13:39:36] INFO: Method=GET, IP=127.0.0.1:40656, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=349.3µs, Message=Fetched completed tasks
[2025-05-11 13:39:37] INFO: Method=DELETE, IP=127.0.0.1:40672, User-Agent=GuzzleHttp/7, Endpoint=/tasks, Status=204, ResponseTime=0s, Message=Berhasil menghapus task ID: 14
